"Austen_Northanger.txt"	"Austen_Persuasion.txt"	"Austen_Pride.txt"	"Austen_Sense.txt"	"CBronte_Jane.txt"	"Dickens_Hard.txt"	"EEE_Adam.txt"
"other"	0.150062741749783	0.16683069684822	0.172510104163244	0.155522295709759	0.0764207308600806	0.104956043638605	0.150111888954267
"miss"	0.265197086712979	0.150027605079335	0.232477902277133	0.175589688704566	0.165667318647727	0.0365901803510731	0.0324315809469095
"sir"	0.0271665308340125	0.178832905254567	0.0624322281733644	0.100336964974038	0.168339372174303	0.230132976418592	0.0838588021627231
"made"	0.115134344963196	0.115221200700929	0.103506062497946	0.115387509720143	0.0876433556717008	0.140583324506755	0.130652940386121
"shall"	0.109959767661479	0.0684125879161766	0.133079223211645	0.107026095972307	0.128792979980975	0.0789577575996842	0.0801523357687906
"only"	0.269078019689267	0.262848364098994	0.177438964282194	0.239972574562907	0.155513515246737	0.133843028126294	0.148258655757301
"too"	0.133245365519204	0.152428046760604	0.117471166168304	0.157194578459326	0.134137087034127	0.110733440536142	0.150111888954267
"might"	0.178522916909225	0.199236659545356	0.164295337298327	0.179770395578484	0.0865745342610703	0.110733440536142	0.14223564786716
"dear"	0.113840700637767	0.0672123670755419	0.124864456346729	0.0986646822244705	0.0160323211594575	0.113622138984911	0.0328948892461511
"like"	0.116427989288625	0.0960176672507741	0.0632537048598561	0.0668913099826919	0.195059907440066	0.151175218818907	0.298833853010809
"himself"	0.069856793573175	0.114020979860294	0.103506062497946	0.0953201167253359	0.0358055172561217	0.127102731745833	0.122313390999773
"thought"	0.129364432542917	0.108019875657121	0.0920053888870634	0.0969923994749032	0.136274729855388	0.0741432601850693	0.169570837522413
"come"	0.0750313708748917	0.0900165630476008	0.074754378470739	0.0852864202279321	0.119173587285301	0.170433208477367	0.246016706897271
"great"	0.125483499566629	0.154828488441873	0.115828212795321	0.124585064842764	0.0635948739325146	0.10014154622399	0.0968314345414869
"make"	0.0931423914309	0.105619433975852	0.137186606644103	0.116223651094927	0.0796271950919721	0.0905125513947599	0.151501813851992
"after"	0.150062741749783	0.115221200700929	0.164295337298327	0.168900557706297	0.101003623304582	0.124214033297064	0.128799707189155
"go"	0.141007231471779	0.105619433975852	0.0854335753951303	0.0819418547287975	0.133068265623497	0.114585038467834	0.212195201052636
"old"	0.0426902627391625	0.0552101586691951	0.0106791969243913	0.0359540791156969	0.0598539989953079	0.141546223989678	0.181153545003452
"our"	0.0620949276206	0.078014354641254	0.0616107514868728	0.06187446173399	0.0534410705315249	0.04525627569738	0.11860692460584
"down"	0.07761865952575	0.0732134712787153	0.0599677981138895	0.0643828858583409	0.130930622802236	0.158878414682291	0.147795347458059
"yet"	0.07761865952575	0.0696128087568113	0.0599677981138895	0.0652190272331246	0.131999444212866	0.0991786467410667	0.0769091776740997
"being"	0.213451313695812	0.264048584939629	0.143758420136037	0.137963326839302	0.0668013381644061	0.151175218818907	0.0662530867915437
"though"	0.1552373190515	0.140425838354257	0.18565373114711	0.180606536953268	0.0726798559228738	0.0962899482922978	0.0685696282877515
"two"	0.112547056312337	0.133224513310449	0.110899352676371	0.126257347592331	0.104210087536474	0.0924383503606059	0.0838588021627231
"us"	0.0814995925020375	0.0576106003504645	0.10022015575198	0.0752527237305284	0.0662669274590909	0.0606626674241476	0.121850082700531
